Time : 30, Temp : 27.30, Hum : 42.20
Time : 60, Temp : 27.30, Hum : 42.00
Time : 90, Temp : 27.30, Hum : 41.90
Time : 120, Temp : 27.30, Hum : 41.90
Time : 150, Temp : 27.30, Hum : 41.90
Time : 180, Temp : 27.30, Hum : 42.00
Time : 210, Temp : 27.30, Hum : 42.00
Time : 240, Temp : 27.30, Hum : 41.90
Time : 270, Temp : 27.30, Hum : 41.90
Time : 300, Temp : 27.30, Hum : 41.90
Time : 330, Temp : 27.30, Hum : 42.00
Time : 360, Temp : 27.30, Hum : 42.00
Time : 390, Temp : 27.30, Hum : 41.80
Time : 420, Temp : 27.30, Hum : 41.80
Time : 450, Temp : 27.30, Hum : 41.70
Time : 480, Temp : 27.30, Hum : 41.50
Time : 510, Temp : 27.30, Hum : 41.30
Time : 540, Temp : 27.30, Hum : 41.40
Time : 570, Temp : 27.30, Hum : 41.40
Time : 600, Temp : 27.30, Hum : 41.40
Time : 630, Temp : 27.30, Hum : 41.50
Time : 660, Temp : 27.40, Hum : 41.60
Time : 690, Temp : 27.30, Hum : 41.60
Time : 720, Temp : 27.30, Hum : 41.60
Time : 750, Temp : 27.30, Hum : 41.60
Time : 780, Temp : 27.30, Hum : 41.70
Time : 810, Temp : 27.30, Hum : 41.70
Time : 840, Temp : 27.30, Hum : 41.70
Time : 870, Temp : 27.30, Hum : 41.70
Time : 900, Temp : 27.30, Hum : 41.70
Time : 930, Temp : 27.30, Hum : 41.70
Time : 960, Temp : 27.30, Hum : 41.70
Time : 990, Temp : 27.30, Hum : 41.70
Time : 1020, Temp : 27.30, Hum : 41.80
Time : 1050, Temp : 27.30, Hum : 41.80
Time : 1080, Temp : 27.30, Hum : 41.80
Time : 1110, Temp : 27.30, Hum : 41.70
Time : 1140, Temp : 27.30, Hum : 41.70
Time : 1170, Temp : 27.30, Hum : 41.50
Time : 1200, Temp : 27.30, Hum : 41.50
Time : 1230, Temp : 27.40, Hum : 42.40
Time : 1260, Temp : 27.60, Hum : 42.50
Time : 1290, Temp : 27.80, Hum : 42.10
Time : 1320, Temp : 27.70, Hum : 41.30
Time : 1351, Temp : 27.60, Hum : 41.10
Time : 1381, Temp : 27.60, Hum : 41.20
Time : 1411, Temp : 27.50, Hum : 41.20
Time : 1441, Temp : 27.50, Hum : 41.20
Time : 1471, Temp : 27.40, Hum : 41.10
Time : 1501, Temp : 27.40, Hum : 41.20
Time : 1531, Temp : 27.40, Hum : 41.30
